"State","StateName","County","City","Zip"
"AL","Alabama","Baldwin","Bay Minette",36507
"AL","Alabama","Baldwin","Bon Secour",36511
"AL","Alabama","Baldwin","Daphne",36526
"AL","Alabama","Baldwin","Elberta",36530
"AL","Alabama","Baldwin","Fairhope",36532
"AL","Alabama","Baldwin","Foley",36535
"AL","Alabama","Baldwin","Foley",36555
"AL","Alabama","Baldwin","Gulf Shores",36542
"AL","Alabama","Baldwin","Lillian",36549
"AL","Alabama","Baldwin","Loxley",36551
"AL","Alabama","Baldwin","Orange Beach",36561
"AL","Alabama","Baldwin","Perdido",36562
"AL","Alabama","Baldwin","Robertsdale",36567
"AL","Alabama","Baldwin","Seminole",36574
"AL","Alabama","Baldwin","Silverhill",36576
"AL","Alabama","Baldwin","Spanish Fort",36527
"AL","Alabama","Baldwin","Stapleton",36578
"AL","Alabama","Baldwin","Summerdale",36580
"AL","Alabama","Bibb","Centreville",35042
"AL","Alabama","Bibb","West Blocton",35184
"AL","Alabama","Bibb","Woodstock",35188
"AL","Alabama","Clay","Ashland",36251
"AL","Alabama","Clay","Delta",36258
"AL","Alabama","Clay","Lineville",36266
"AL","Alabama","Cleburne","Heflin",36264
"AL","Alabama","Cleburne","Ranburne",36273
"AL","Alabama","Coffee","Chancellor",36316
"AL","Alabama","Coffee","Enterprise",36330
"AL","Alabama","Cullman","Baileyton",35019
"AL","Alabama","Cullman","Bremen",35033
"AL","Alabama","Cullman","Crane Hill",35053
"AL","Alabama","Cullman","Cullman",35055
"AL","Alabama","Cullman","Cullman",35058
"AL","Alabama","Cullman","Good Hope",35057
"AL","Alabama","Cullman","Hanceville",35077
"AL","Alabama","Cullman","Holly Pond",35083
"AL","Alabama","Cullman","West Point",35179
"AL","Alabama","Elmore","Deatsville",36022
"AL","Alabama","Elmore","Elmore",36025
"AL","Alabama","Elmore","Millbrook",36054
"AL","Alabama","Elmore","Titus",36080
"AL","Alabama","Elmore","Wetumpka",36092
"AL","Alabama","Elmore","Wetumpka",36093
"AL","Alabama","Jefferson","Adamsville",35005
"AL","Alabama","Jefferson","Bessemer",35020
"AL","Alabama","Jefferson","Bessemer",35022
"AL","Alabama","Jefferson","Birmingham",35061
"AL","Alabama","Jefferson","Birmingham",35203
"AL","Alabama","Jefferson","Birmingham",35204
"AL","Alabama","Jefferson","Birmingham",35205
"AL","Alabama","Jefferson","Birmingham",35206
"AL","Alabama","Jefferson","Birmingham",35207
"AL","Alabama","Jefferson","Birmingham",35208
"AL","Alabama","Jefferson","Birmingham",35211
"AL","Alabama","Jefferson","Birmingham",35212
"AL","Alabama","Jefferson","Birmingham",35215
"AL","Alabama","Jefferson","Birmingham",35218
"AL","Alabama","Jefferson","Birmingham",35221
"AL","Alabama","Jefferson","Birmingham",35222
"AL","Alabama","Jefferson","Birmingham",35224
"AL","Alabama","Jefferson","Birmingham",35234
"AL","Alabama","Jefferson","Birmingham",35235
"AL","Alabama","Jefferson","Clay",35126
"AL","Alabama","Jefferson","Fairfield",35064
"AL","Alabama","Jefferson","Forestdale",35214
"AL","Alabama","Jefferson","Fultondale",35068
"AL","Alabama","Jefferson","Gardendale",35071
"AL","Alabama","Jefferson","Graysville",35073
"AL","Alabama","Jefferson","Homewood",35209
"AL","Alabama","Jefferson","Hoover",35226
"AL","Alabama","Jefferson","Hoover",35242
"AL","Alabama","Jefferson","Hoover",35244
"AL","Alabama","Jefferson","Hueytown",35023
"AL","Alabama","Jefferson","Irondale",35210
"AL","Alabama","Jefferson","Kimberly",35091
"AL","Alabama","Jefferson","Leeds",35094
"AL","Alabama","Jefferson","Midfield",35228
"AL","Alabama","Jefferson","Morris",35116
"AL","Alabama","Jefferson","Mount Olive",35117
"AL","Alabama","Jefferson","Mountain Brook",35213
"AL","Alabama","Jefferson","Mountain Brook",35223
"AL","Alabama","Jefferson","North Johns",35006
"AL","Alabama","Jefferson","Pleasant Grove",35127
"AL","Alabama","Jefferson","Sylvan Springs",35118
"AL","Alabama","Jefferson","Tarrant",35217
"AL","Alabama","Jefferson","Trafford",35172
"AL","Alabama","Jefferson","Trussville",35173
"AL","Alabama","Jefferson","Vestavia Hills",35216
"AL","Alabama","Jefferson","Vestavia Hills",35243
"AL","Alabama","Jefferson","Warrior",35180
"AL","Alabama","Madison","Ardmore",35739
"AL","Alabama","Madison","Gurley",35748
"AL","Alabama","Madison","Harvest",35749
"AL","Alabama","Madison","Harvest",35773
"AL","Alabama","Madison","Hazel Green",35750
"AL","Alabama","Madison","Huntsville",35741
"AL","Alabama","Madison","Huntsville",35763
"AL","Alabama","Madison","Huntsville",35801
"AL","Alabama","Madison","Huntsville",35802
"AL","Alabama","Madison","Huntsville",35803
"AL","Alabama","Madison","Huntsville",35805
"AL","Alabama","Madison","Huntsville",35806
"AL","Alabama","Madison","Huntsville",35810
"AL","Alabama","Madison","Huntsville",35811
"AL","Alabama","Madison","Huntsville",35816
"AL","Alabama","Madison","Huntsville",35824
"AL","Alabama","Madison","Madison",35757
"AL","Alabama","Madison","Madison",35758
"AL","Alabama","Madison","Meridianville",35759
"AL","Alabama","Madison","New Hope",35760
"AL","Alabama","Madison","New Market",35761
"AL","Alabama","Madison","Triana",35756
"AL","Alabama","Marshall","Albertville",35950
"AL","Alabama","Marshall","Albertville",35951
"AL","Alabama","Marshall","Arab",35016
"AL","Alabama","Marshall","Boaz",35957
"AL","Alabama","Marshall","Douglas",35980
"AL","Alabama","Marshall","Grant",35747
"AL","Alabama","Marshall","Guntersville",35976
"AL","Alabama","Marshall","Union Grove",35175
"AL","Alabama","Mobile","Axis",36505
"AL","Alabama","Mobile","Bayou La Batre",36509
"AL","Alabama","Mobile","Chickasaw",36611
"AL","Alabama","Mobile","Chunchula",36521
"AL","Alabama","Mobile","Citronelle",36522
"AL","Alabama","Mobile","Coden",36523
"AL","Alabama","Mobile","Creola",36525
"AL","Alabama","Mobile","Dauphin Island",36528
"AL","Alabama","Mobile","Grand Bay",36541
"AL","Alabama","Mobile","Irvington",36544
"AL","Alabama","Mobile","Mobile",36603
"AL","Alabama","Mobile","Mobile",36604
"AL","Alabama","Mobile","Mobile",36605
"AL","Alabama","Mobile","Mobile",36606
"AL","Alabama","Mobile","Mobile",36607
"AL","Alabama","Mobile","Mobile",36608
"AL","Alabama","Mobile","Mobile",36609
"AL","Alabama","Mobile","Mobile",36617
"AL","Alabama","Mobile","Mobile",36618
"AL","Alabama","Mobile","Mobile",36619
"AL","Alabama","Mobile","Mobile",36693
"AL","Alabama","Mobile","Mobile",36695
"AL","Alabama","Mobile","Mount Vernon",36560
"AL","Alabama","Mobile","Prichard",36610
"AL","Alabama","Mobile","Prichard",36612
"AL","Alabama","Mobile","Prichard",36613
"AL","Alabama","Mobile","Saraland",36571
"AL","Alabama","Mobile","Satsuma",36572
"AL","Alabama","Mobile","Semmes",36575
"AL","Alabama","Mobile","Theodore",36582
"AL","Alabama","Mobile","Wilmer",36587
"AL","Alabama","Montgomery","Hope Hull",36043
"AL","Alabama","Montgomery","Montgomery",36106
"AL","Alabama","Montgomery","Montgomery",36107
"AL","Alabama","Montgomery","Montgomery",36108
"AL","Alabama","Montgomery","Montgomery",36109
"AL","Alabama","Montgomery","Montgomery",36110
"AL","Alabama","Montgomery","Montgomery",36111
"AL","Alabama","Montgomery","Montgomery",36116
"AL","Alabama","Montgomery","Montgomery",36117
"AL","Alabama","Montgomery","Pike Road",36064
"AL","Alabama","Saint Clair","Argo",35120
"AL","Alabama","Saint Clair","Ashville",35953
"AL","Alabama","Saint Clair","Moody",35004
"AL","Alabama","Saint Clair","Pell City",35054
"AL","Alabama","Saint Clair","Pell City",35125
"AL","Alabama","Saint Clair","Pell City",35128
"AL","Alabama","Saint Clair","Ragland",35131
"AL","Alabama","Saint Clair","Riverside",35135
"AL","Alabama","Saint Clair","Springville",35133
"AL","Alabama","Saint Clair","Springville",35146
"AL","Alabama","Saint Clair","Steele",35987
"AL","Alabama","Shelby","Alabaster",35007
"AL","Alabama","Shelby","Alabaster",35114
"AL","Alabama","Shelby","Calera",35040
"AL","Alabama","Shelby","Chelsea",35043
"AL","Alabama","Shelby","Chelsea",35147
"AL","Alabama","Shelby","Columbiana",35051
"AL","Alabama","Shelby","Harpersville",35078
"AL","Alabama","Shelby","Helena",35080
"AL","Alabama","Shelby","Montevallo",35115
"AL","Alabama","Shelby","Pelham",35124
"AL","Alabama","Shelby","Shelby",35143
