"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,6181,"New York","NY","New York","Queens",0,613500,0.0021234890558641,0.00987654320987654,0.0699337286362051,0.0609937354624821,0.0228782289352507,"2016-04","2016-Q2",613500,0,"2016-04"
2016-04-30,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",1,576100,0.00418337109987799,0.0155120747399965,0.0744125326370757,0.0786739075239538,-0.00359061914732439,"2006-08","2006-Q3",602700,-0.0441347270615563,"2005-11"
2016-04-30,17426,"Chicago","IL","Chicago","Cook",2,203700,0.00542941757156959,0.0124254473161034,0.0975215517241379,0.0187851627663245,-0.0180508857043241,"2007-01","2007-Q1",245700,-0.170940170940171,"2004-03"
2016-04-30,39051,"Houston","TX","Houston","Harris",3,145300,-0.00274536719286205,0.00693000693000693,0.0460763138948884,0.0499010693088506,0.0198261146822098,"2016-03","2016-Q1",145700,-0.00274536719286205,"2016-03"
2016-04-30,13271,"Philadelphia","PA","Philadelphia","Philadelphia",4,121800,-0.000820344544708778,0.00246913580246914,0.0463917525773196,0.0154712629793419,0.00842342748793401,"2007-09","2007-Q3",123500,-0.0137651821862348,"2007-06"
2016-04-30,40326,"Phoenix","AZ","Phoenix","Maricopa",5,191900,0.00471204188481675,0.0137348124669836,0.0997134670487106,0.117322838613911,-0.0253193833505173,"2006-06","2006-Q2",248300,-0.227144583165526,"2005-05"
2016-04-30,18959,"Las Vegas","NV","Las Vegas","Clark",6,197800,0.00304259634888438,0.0128008192524322,0.0940265486725664,0.109782019400467,-0.0401552311712409,"2006-07","2006-Q3",298700,-0.337797120857047,"2004-03"
2016-04-30,6915,"San Antonio","TX","San Antonio","Bexar",7,132800,0.00835231586940015,0.0215384615384615,0.0683829444891392,0.019290932954561,0.0213602721082173,"2012-02","2012-Q1",136700,-0.0285296269202634,"2011-11"
2016-04-30,54296,"San Diego","CA","San Diego","San Diego",8,535500,0.00168350168350168,0.00790513833992095,0.0475352112676056,0.0679404060226467,0.000411761978824421,"2005-10","2005-Q4",538400,-0.00538632986627043,"2005-08"
2016-04-30,38128,"Dallas","TX","Dallas-Fort Worth","Dallas",9,141100,0.00929899856938484,0.0397936624907885,0.162273476112026,0.079170328383483,0.0178668108046418,"2016-04","2016-Q2",141100,0,"2016-04"
2016-04-30,33839,"San Jose","CA","San Jose","Santa Clara",10,833000,0.00786448880822747,0.0188356164383562,0.105801141643436,0.108187873574114,0.0185706941071366,"2016-04","2016-Q2",833000,0,"2016-04"
2016-04-30,25290,"Jacksonville","FL","Jacksonville","Duval",11,137300,0.00438917337234821,0.0185459940652819,0.0940239043824701,0.0455253540863181,-0.0232417864750643,"2006-11","2006-Q4",181000,-0.241436464088398,"2005-01"
2016-04-30,20330,"San Francisco","CA","San Francisco","San Francisco",12,1135900,0.00211733568592854,0.0113069800569801,0.0993999225706543,0.109441436811064,0.0386507913304623,"2016-04","2016-Q2",1135900,0,"2016-04"
2016-04-30,10221,"Austin","TX","Austin","Travis",13,299700,0.00909090909090909,0.0291895604395604,0.092201166180758,0.0750603849492959,0.0507389211508653,"2016-04","2016-Q2",299700,0,"2016-04"
2016-04-30,17762,"Detroit","MI","Detroit","Wayne",14,35900,-0.00828729281767956,-0.032345013477089,-0.0841836734693878,-0.0233417641330917,-0.0750180274088288,"2005-12","2005-Q4",79500,-0.548427672955975,
2016-04-30,10920,"Columbus","OH","Columbus","Franklin",15,114200,0.00972590627763042,0.0232974910394265,0.0896946564885496,0.0260924172586359,-0.00601339857965932,"2006-05","2006-Q2",121300,-0.0585325638911789,"2004-02"
2016-04-30,32811,"Memphis","TN","Memphis","Shelby",16,69500,0,0.0072463768115942,0.0357675111773472,0.00585691599289917,-0.0220953689540208,"2007-03","2007-Q1",89900,-0.226918798665184,"1999-02"
2016-04-30,24043,"Charlotte","NC","Charlotte","Mecklenburg",17,168200,0.004778972520908,0.0175438596491228,0.0679365079365079,0.0455773972349169,0.0126029984415232,"2016-04","2016-Q2",168200,0,"2016-04"
2016-04-30,17933,"El Paso","TX","El Paso","El Paso",18,111800,0.0017921146953405,0.00902527075812274,0.00539568345323741,-0.00614620762542195,0.00823195498471874,"2007-12","2007-Q4",123700,-0.0962004850444624,"2006-10"
2016-04-30,44269,"Boston","MA","Boston","Suffolk",19,489200,0.00266448042631687,0.0168364165454168,0.0552200172562554,0.072591213701318,0.0260688243468301,"2016-04","2016-Q2",489200,0,"2016-04"
2016-04-30,16037,"Seattle","WA","Seattle","King",20,564300,0.0147455493616256,0.045774647887324,0.154459901800327,0.0922465586453079,0.0298265357553389,"2016-04","2016-Q2",564300,0,"2016-04"
2016-04-30,3523,"Baltimore","MD","Baltimore","Baltimore City",21,113600,-0.00175746924428822,0.0088809946714032,0.0706880301602262,0.0152897273525503,0.000176227025498132,"2007-11","2007-Q4",131700,-0.137433561123766,"2006-05"
2016-04-30,11093,"Denver","CO","Denver","Denver",22,344400,0.00496060694484972,0.0171293561724749,0.136258660508083,0.105477143672251,0.0431191550217389,"2016-04","2016-Q2",344400,0,"2016-04"
2016-04-30,41568,"Washington","DC","Washington","District of Columbia",23,498000,-0.00200400801603206,-0.00160384923817161,0.0321243523316062,0.071858202685392,0.0217728985952306,"2016-02","2016-Q1",499700,-0.00340204122473484,"2016-01"
2016-04-30,6118,"Nashville","TN","Nashville","Davidson",24,197700,0.00457317073170732,0.0222337125129266,0.12521343198634,0.0696320181186709,0.0299351636917737,"2016-04","2016-Q2",197700,0,"2016-04"
2016-04-30,5976,"Milwaukee","WI","Milwaukee","Milwaukee",25,94300,0.00106157112526539,0.00106157112526539,0.00212539851222104,-0.00644812524042382,-0.0371519055295646,"2006-04","2006-Q2",137700,-0.31517792302106,"2002-10"
2016-04-30,7481,"Tucson","AZ","Tucson","Pima",26,150100,0.00267201068804275,0.00670690811535882,0.0351724137931035,0.027594756000062,-0.0329308688297338,"2006-05","2006-Q2",210600,-0.287274453941121,"2004-10"
2016-04-30,13373,"Portland","OR","Portland","Multnomah",27,368800,0.0087527352297593,0.0347923681257015,0.215557020435069,0.087915361974747,0.0313693600671245,"2016-04","2016-Q2",368800,0,"2016-04"
2016-04-30,33225,"Oklahoma City","OK","Oklahoma City","Oklahoma",28,126700,-0.00236220472440945,0,0.0209508460918614,0.0347634316735139,0.0208261695867284,"2016-02","2016-Q1",127100,-0.003147128245476,"2016-01"
2016-04-30,40152,"Omaha","NE","Omaha","Douglas",29,138300,-0.000722543352601156,0.000723589001447178,0.0274888558692422,0.0188032624276544,0.00444516733042843,"2016-03","2016-Q1",138400,-0.000722543352601156,"2016-03"
2016-04-30,23429,"Albuquerque","NM","Albuquerque","Bernalillo",30,171600,0.00645161290322581,0.0106007067137809,0.0263157894736842,-0.00729672136576287,-0.0014453204888768,"2007-09","2007-Q3",199900,-0.141570785392696,"2006-04"
2016-04-30,18203,"Fresno","CA","Fresno","Fresno",31,190800,0.00421052631578947,0.0122015915119363,0.0535615681943678,0.0714813205727178,-0.040802618851733,"2006-05","2006-Q2",289500,-0.340932642487047,"2004-05"
2016-04-30,20288,"Sacramento","CA","Sacramento","Sacramento",32,269000,0.00786811539902585,0.0286806883365201,0.121300541892455,0.119908777663825,-0.0253083372946883,"2005-12","2005-Q4",353000,-0.237960339943343,"2004-06"
2016-04-30,19331,"Mesa","AZ","Phoenix","Maricopa",33,203900,0.00443349753694581,0.0119106699751861,0.091541755888651,0.10422894228768,-0.0198233558901706,"2006-04","2006-Q2",249100,-0.181453231633882,"2005-07"
2016-04-30,46298,"Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",34,514800,0.00390015600624025,0.0192041179964363,0.0722766090397834,0.0666187920822552,-0.00891018218430983,"2006-07","2006-Q3",566300,-0.0909411972452764,"2005-08"
2016-04-30,18795,"Kansas City","MO","Kansas City","Jackson",35,108500,0.000922509225092251,0.00370027752081406,0.0626836434867777,0.00278814737689181,-0.0365204502367337,"2007-07","2007-Q3",160000,-0.321875,"1998-08"
2016-04-30,41515,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",36,248800,-0.00240577385725742,0,0.0138549307253464,0.0119954356546585,-0.00938434593416038,"2007-04","2007-Q2",277300,-0.102776776054814,"2005-07"
2016-04-30,4172,"Colorado Springs","CO","Colorado Springs","El Paso",37,225700,0.00355713650511338,0.012561686855092,0.0656279508970727,0.0455932300131181,0.0133337068629358,"2016-04","2016-Q2",225700,0,"2016-04"
2016-04-30,37211,"Atlanta","GA","Atlanta","Fulton",38,189400,0.00637619553666312,0.0243374797187669,0.120047309284447,0.0752090542435262,-0.00387594953088555,"2006-04","2006-Q2",196900,-0.0380904012188928,"2005-11"
2016-04-30,12700,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",39,293700,0.00478959972630859,0.00754716981132076,0.0568549838071249,0.105715261023791,-0.0159696686700854,"2007-03","2007-Q1",373800,-0.214285714285714,"2005-07"
2016-04-30,13072,"Oakland","CA","San Francisco","Alameda",40,604300,0.00549084858569052,0.0230235314034197,0.160553101594008,0.134032266409802,0.0106605284706478,"2016-04","2016-Q2",604300,0,"2016-04"
2016-04-30,20859,"Tulsa","OK","Tulsa","Tulsa",41,104500,0.000957854406130268,0,0.0145631067961165,0.0220575245317569,0.0142637414806612,"2015-06","2015-Q2",104600,-0.000956022944550669,"2015-06"
2016-04-30,24115,"Cleveland","OH","Cleveland","Cuyahoga",42,49400,-0.00202020202020202,-0.00202020202020202,-0.0608365019011407,-0.0282144910993144,-0.0517021491985953,"2006-02","2006-Q1",84500,-0.415384615384615,
2016-04-30,18615,"Honolulu","HI","Urban Honolulu, HI","Honolulu",43,623000,0.00112485939257593,-0.00272130622698895,0.0113636363636364,0.039821601640464,0.0106278057801412,"2015-09","2015-Q3",625900,-0.00463332800766896,"2015-08"
2016-04-30,5983,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",44,209700,0.00191113234591495,0.00914340712223292,0.0511278195488722,0.0450919145686035,-0.00684080487465721,"2006-04","2006-Q2",224600,-0.066340160284951,"2004-11"
2016-04-30,44055,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",45,147300,0.00204081632653061,0.00408997955010225,0.0635379061371841,0.0181963535935541,0.0193584261171331,"2016-04","2016-Q2",147300,0,"2016-04"
2016-04-30,50763,"Arlington","TX","Dallas-Fort Worth","Tarrant",46,158000,0.00701083492670491,0.0266406757634828,0.11660777385159,0.069718723617864,0.0193843211671472,"2016-04","2016-Q2",158000,0,"2016-04"
2016-04-30,54047,"Raleigh","NC","Raleigh","Wake",47,203600,0.00444005920078934,0.0154613466334165,0.0511099638616417,0.0321566151062129,0.015951088934016,"2016-04","2016-Q2",203600,0,"2016-04"
2016-04-30,7929,"Wichita","KS","Wichita","Sedgwick",48,106900,0.00375586854460094,0.00281425891181989,0.0419103313840156,0.0192067425166234,0.0154553614681745,"2009-06","2009-Q2",110800,-0.0351985559566787,"2008-11"
