"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA",0,526400,0.00343118566526878,0.0144536519560609,0.0649403196439409,0.0696103757250688,-0.00692835202783293,"2006-07","2006-Q3",569000,-0.0748681898066784,"2005-09"
2016-04-30,139,"Cook","IL","Chicago",1,199100,0.00352822580645161,0.0106598984771574,0.0715823466092573,0.0181223573831222,-0.0241737648109646,"2007-02","2007-Q1",257000,-0.225291828793774,"2003-05"
2016-04-30,1090,"Harris","TX","Houston",2,158000,0.00253807106598985,0.010230179028133,0.0533333333333333,0.0534209707514155,0.0197760159078246,"2016-04","2016-Q2",158000,0,"2016-04"
2016-04-30,2402,"Maricopa","AZ","Phoenix",3,226500,0.00354452813469207,0.00711427301022677,0.0821786908743431,0.0995916737445768,-0.0215389198365484,"2006-03","2006-Q1",281700,-0.195953141640043,"2005-05"
2016-04-30,2841,"San Diego","CA","San Diego",4,507100,0.00177795337811142,0.00835156094651024,0.055578684429642,0.0722966126774596,-0.00567556904244859,"2005-10","2005-Q4",538400,-0.0581352154531947,"2004-09"
2016-04-30,1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA",5,652200,0.00153562653562654,0.0110060455743296,0.0565365300502187,0.0630988333807094,-0.00752895998079994,"2006-04","2006-Q2",703400,-0.0727893090702303,"2005-08"
2016-04-30,581,"Kings","NY","New York",6,644600,-0.000310173697270471,0.00342465753424658,0.087565378775097,0.0719621596057314,0.0398731895597715,"2016-03","2016-Q1",644800,-0.000310173697270471,"2016-03"
2016-04-30,2964,"Miami-Dade","FL","Miami-Fort Lauderdale",7,250800,0.00440528634361234,0.0153846153846154,0.100965759438104,0.103317316629089,-0.0205888947410652,"2007-03","2007-Q1",325400,-0.229256299938537,"2005-05"
2016-04-30,978,"Dallas","TX","Dallas-Fort Worth",8,151900,0.00863213811420983,0.0340367597004765,0.148148148148148,0.0762382098532615,0.0178245854912904,"2016-04","2016-Q2",151900,0,"2016-04"
2016-04-30,1347,"Queens","NY","New York",9,460900,0.00787229389897223,0.0265033407572383,0.0801499882821654,0.03826608749198,0.00399165439532023,"2007-04","2007-Q2",477300,-0.0343599413366855,"2006-10"
2016-04-30,2832,"Riverside","CA","Riverside",10,323200,0.00528771384136858,0.0141198619391277,0.0677238189626693,0.090788183918133,-0.0262515595697783,"2006-06","2006-Q2",422900,-0.235753133128399,"2004-07"
2016-04-30,3250,"San Bernardino","CA","Riverside",11,283400,0.00603478878239262,0.0238439306358381,0.0792079207920792,0.0985915568159437,-0.0281094243023526,"2006-07","2006-Q3",379100,-0.252439989448694,"2004-11"
2016-04-30,445,"Clark","NV","Las Vegas",12,203700,0.00344827586206897,0.0119225037257824,0.0875600640683396,0.107240396651727,-0.0395939611912898,"2006-05","2006-Q2",305200,-0.33256880733945,"2004-03"
2016-04-30,207,"King","WA","Seattle",13,477900,0.0133587786259542,0.0420846053205408,0.123941674506115,0.0848806973212017,0.0192342133168391,"2016-04","2016-Q2",477900,0,"2016-04"
2016-04-30,791,"Wayne","MI","Detroit",14,60200,-0.0033112582781457,-0.00986842105263158,0.0542907180385289,0.0390776907271353,-0.0592667496182406,"2005-04","2005-Q2",113600,-0.470070422535211,
2016-04-30,2049,"Tarrant","TX","Dallas-Fort Worth",15,161900,0.00559006211180124,0.0220959595959596,0.11042524005487,0.0683988867044092,0.0207823303633239,"2016-04","2016-Q2",161900,0,"2016-04"
2016-04-30,3136,"Santa Clara","CA","San Jose",16,977000,0.00773594636410521,0.0207919757601087,0.121699196326062,0.11262288464448,0.0280621237506202,"2016-04","2016-Q2",977000,0,"2016-04"
2016-04-30,1561,"Broward","FL","Miami-Fort Lauderdale",17,210300,0.00573888091822095,0.0174165457184325,0.101623886851755,0.100810073732293,-0.0307849653749346,"2006-06","2006-Q2",289600,-0.273825966850829,"2005-01"
2016-04-30,386,"Bexar","TX","San Antonio",18,138600,0.0065359477124183,0.0191176470588235,0.0669745958429561,0.0195687548143966,0.0200002461298563,"2012-03","2012-Q1",140800,-0.015625,"2012-01"
2016-04-30,2452,"New York","NY","New York",19,1247000,-0.00629532233644115,-0.0256290045319581,0.0287081339712919,0.0868440512557287,0.0499656933794266,"2015-10","2015-Q4",1345300,-0.073069203895042,"2015-07"
2016-04-30,3175,"Philadelphia","PA","Philadelphia",20,121700,0.00164609053497942,0.00247116968698517,0.0464316423043852,0.0153044641426499,0.00834060349847898,"2007-09","2007-Q3",123500,-0.0145748987854251,"2007-06"
2016-04-30,1510,"Alameda","CA","San Francisco",21,722600,0.00124705556325343,0.0136063964090335,0.110496388504687,0.116119591563936,0.0127997918085543,"2016-04","2016-Q2",722600,0,"2016-04"
2016-04-30,2801,"Middlesex","MA","Boston",22,450400,0.000888888888888889,0.0100919488674591,0.0543071161048689,0.0468159102551691,0.0093683586460942,"2016-04","2016-Q2",450400,0,"2016-04"
2016-04-30,2046,"Suffolk","NY","New York",23,346900,0.000576867608883761,0.006966618287373,-0.0130867709815078,-0.00132078099794719,-0.0247714124536371,"2006-07","2006-Q3",447900,-0.225496762670239,"2003-11"
2016-04-30,3017,"Sacramento","CA","Sacramento",24,302900,0.00464344941956882,0.0181512605042017,0.0966690803765387,0.103515838622785,-0.0218279959686556,"2005-11","2005-Q4",386500,-0.216300129366106,"2004-06"
2016-04-30,401,"Bronx","NY","New York",25,339100,0.00295770482105886,0.00772659732540862,0.00742721330956625,0.00952610765000994,-0.00618367579833223,"2007-04","2007-Q2",396300,-0.144335099671966,"2005-11"
2016-04-30,1252,"Nassau","NY","New York",26,464700,0.000215238915195867,0.00129282482223659,0.0278699402786994,0.0226834693130236,-0.00925874040862384,"2006-08","2006-Q3",512700,-0.093622001170275,"2005-02"
2016-04-30,2993,"Palm Beach","FL","Miami-Fort Lauderdale",27,233300,0.00647109577221743,0.023694602896007,0.116267942583732,0.0929407757633705,-0.0316488561307485,"2006-03","2006-Q1",322800,-0.2772614622057,"2004-10"
2016-04-30,2241,"Cuyahoga","OH","Cleveland",28,107400,-0.000930232558139535,0.00845070422535211,0.0366795366795367,0.0076199290174801,-0.0198919515978436,"2005-08","2005-Q3",133600,-0.196107784431138,"1999-04"
2016-04-30,3165,"Hillsborough","FL","Tampa",29,174400,0.00460829493087558,0.0169096209912536,0.0792079207920792,0.0785386553984389,-0.0230930521746715,"2006-09","2006-Q3",226600,-0.23036187113857,"2005-05"
2016-04-30,2614,"Allegheny","PA","Pittsburgh",30,130000,0.00154083204930663,0.00775193798449612,0.04,0.0319195935136414,0.0241518163526204,"2016-04","2016-Q2",130000,0,"2016-04"
2016-04-30,1950,"Oakland","MI","Detroit",31,203000,0.00296442687747036,0.00694444444444444,0.0388945752302968,0.0928914056353765,-0.00669271314773412,"2005-12","2005-Q4",219600,-0.075591985428051,"2002-10"
2016-04-30,2288,"Franklin","OH","Columbus",32,137300,0.00807635829662261,0.0200594353640416,0.0701480904130943,0.0288492732733259,-0.00187419838242475,"2006-06","2006-Q2",140100,-0.0199857244825125,"2005-02"
2016-04-30,2339,"Hennepin","MN","Minneapolis-St Paul",33,232400,0.00215610176800345,0.0121951219512195,0.0482634190347316,0.0435376127020479,-0.00655590047566812,"2006-05","2006-Q2",248400,-0.0644122383252818,"2004-10"
2016-04-30,1287,"Orange","FL","Orlando",34,190800,0.00262743037309511,0.0154337413517829,0.096551724137931,0.0894854843580435,-0.0299105483041741,"2006-07","2006-Q3",262400,-0.272865853658537,"2005-04"
2016-04-30,1694,"Fairfax","VA","Washington",35,497400,0.00201450443190975,0.00525464834276475,-0.00559776089564174,0.0331306777031373,-0.00907930791389455,"2005-12","2005-Q4",553000,-0.100542495479204,"2005-04"
