"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,102001,"United States",0,187000,0.00268096514745308,0.0119047619047619,0.0487941671340437,0.0362521698139269,-0.00304981636474122,"2007-05","2007-Q2",196100,-0.0464048954614992,"2005-11"
2016-04-30,9,"California",1,463600,0.00302899177845089,0.0122270742358079,0.0618415025194686,0.0788524439623715,-0.0140379093639975,"2006-04","2006-Q2",534000,-0.131835205992509,"2005-01"
2016-04-30,54,"Texas",2,155400,0.00517464424320828,0.018348623853211,0.0709855272226051,0.0405340999366606,0.020950688601199,"2016-04","2016-Q2",155400,0,"2016-04"
2016-04-30,43,"New York",3,262600,0.00190766882869134,0.00459066564651875,-0.00643208475217556,0.00565445394034714,,"2007-08","2007-Q3",332400,-0.209987966305656,
2016-04-30,14,"Florida",4,187200,0.00483091787439614,0.0179445350734095,0.0909090909090909,0.0746635861003511,-0.0304358109759632,"2006-07","2006-Q3",256900,-0.271311794472557,"2005-01"
2016-04-30,21,"Illinois",5,160300,0.00375704445835942,0.00817610062893082,0.0361990950226244,0.00726746546666179,-0.0206032976582117,"2007-03","2007-Q1",202200,-0.207220573689416,"2003-03"
2016-04-30,47,"Pennsylvania",6,153600,0.00261096605744125,0.00523560209424084,0.024,0.00868533919934755,0.0043332809378307,"2009-04","2009-Q2",155100,-0.00967117988394584,"2009-01"
2016-04-30,44,"Ohio",7,120000,0,0.00334448160535117,0.0265183917878529,0.0212956876001351,-0.00502495320151675,"2006-05","2006-Q2",126200,-0.0491283676703645,"2003-12"
2016-04-30,30,"Michigan",8,123000,0.00244498777506112,0.00654664484451719,0.0406091370558376,0.0508162391378923,-0.0133545864398473,"2005-12","2005-Q4",142000,-0.133802816901408,"2001-06"
2016-04-30,16,"Georgia",9,145900,0.00343878954607978,0.0124913254684247,0.056480811006517,0.0369383644802375,-0.00493531415275028,"2006-11","2006-Q4",156300,-0.0665387076135637,"2005-04"
2016-04-30,36,"North Carolina",10,151100,0.00599201065246338,0.0127345844504021,0.0392022008253095,0.017126570652263,0.00623081242140477,"2016-04","2016-Q2",151100,0,"2016-04"
2016-04-30,40,"New Jersey",11,289200,0.000345901072293324,0.00416666666666667,0.0147368421052632,0.00455679587905955,-0.0239144877625765,"2006-07","2006-Q3",370800,-0.220064724919094,"2004-05"
2016-04-30,56,"Virginia",12,233800,0.00171379605826907,0.00429553264604811,0.0134373645426961,0.0198650521734014,-0.0125227504744355,"2006-08","2006-Q3",267100,-0.124672407338076,"2005-04"
2016-04-30,59,"Washington",13,296500,0.00884654644436883,0.0248876598686485,0.1010025993316,0.0539450540697213,0.0056703745108615,"2007-06","2007-Q2",303000,-0.0214521452145215,"2006-11"
2016-04-30,26,"Massachusetts",14,344700,0.000290191526407429,0.00818952910207663,0.0435967302452316,0.035162801112437,-0.00268687243893007,"2005-10","2005-Q4",359000,-0.0398328690807799,"2004-11"
2016-04-30,22,"Indiana",15,116000,0.00259291270527226,0.00432900432900433,0.0311111111111111,0.0160935713800252,-0.00136894657243614,"2005-08","2005-Q3",119700,-0.0309106098579783,"2005-01"
2016-04-30,8,"Arizona",16,207000,0.00339311682016481,0.0102489019033675,0.0786868160500261,0.0790530114504788,-0.0241404463129967,"2006-05","2006-Q2",264400,-0.217095310136157,"2005-05"
2016-04-30,53,"Tennessee",17,132100,0.00151630022744503,0.007627765064836,0.0459224069675376,0.0272216560281904,0.0146673161543049,"2016-04","2016-Q2",132100,0,"2016-04"
