"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,61639,"10025","NY","New York","New York","New York",0,1147800,-0.00269354418281345,0.00878889084197574,0.0296017222820237,0.0943446759690274,0.0481041280653269,"2015-08","2015-Q3",1241900,-0.0757709960544327,"2015-06"
2016-04-30,84654,"60657","IL","Chicago","Cook","Chicago",1,307500,0.000325309043591412,0.0068762278978389,0.00457366873570729,0.0143895216345138,-0.00403889297494009,"2006-01","2006-Q1",321900,-0.0447343895619758,"2005-02"
2016-04-30,84616,"60614","IL","Chicago","Cook","Chicago",2,375300,-0.00318725099601594,-0.00186170212765957,-0.00133049494411921,0.0159794988850899,-0.00239292946419956,"2007-09","2007-Q3",394700,-0.0491512541170509,"2005-03"
2016-04-30,93144,"79936","TX","El Paso","El Paso","El Paso",3,111400,0.00179856115107914,0.0036036036036036,-0.00446827524575514,-0.00320063466856946,0.00498118841226769,"2007-12","2007-Q4",131000,-0.149618320610687,"2006-07"
2016-04-30,91733,"77084","TX","Houston","Harris","Houston",4,149300,0.00268636668905306,0.0122033898305085,0.0566171266808209,0.0665138738658941,0.01792312211368,"2016-04","2016-Q2",149300,0,"2016-04"
2016-04-30,84640,"60640","IL","Chicago","Cook","Chicago",5,191700,0.00419067574646412,0.00471698113207547,-0.00981404958677686,-0.00340776205623927,-0.0188573914795989,"2007-05","2007-Q2",235900,-0.187367528613819,"2002-08"
2016-04-30,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1131000,-0.00448904145761817,-0.00229357798165138,0.0625704622322435,0.10710991047797,0.0380817534745996,"2015-09","2015-Q3",1143700,-0.0111043105709539,"2015-08"
2016-04-30,62037,"11226","NY","New York","Kings","New York",7,586300,0.00981743024457458,0.024820835518266,0.093231400335633,0.0941399757490937,0.0431185089176915,"2016-04","2016-Q2",586300,0,"2016-04"
2016-04-30,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",8,285600,0.00669721536834684,0.0291891891891892,0.131985731272295,0.0946635447809494,0.0394309574808067,"2016-04","2016-Q2",285600,0,"2016-04"
2016-04-30,91940,"77449","TX","Houston","Harris","Cypress",9,152000,0.00263852242744063,0.0033003300330033,0.0629370629370629,0.0679852463586723,0.0174926328745661,"2016-04","2016-Q2",152000,0,"2016-04"
2016-04-30,61630,"10016","NY","New York","New York","New York",10,1011700,-0.000098833761612967,0.00188156070509012,-0.0015789993091878,0.0895812770939663,0.0413437240679626,"2015-08","2015-Q3",1120700,-0.0972606406710092,"2015-04"
2016-04-30,71831,"32162","FL","The Villages","Sumter","The Villages",11,244500,-0.00122549019607843,0.00163867267513314,-0.0149073327961322,0.0439372406663825,0.00491560142773761,"2006-12","2006-Q4",253300,-0.034741413343861,"2006-08"
2016-04-30,91982,"77494","TX","Houston","Fort Bend","Cinco Ranch",12,319500,0.000313087038196619,-0.000312891113892365,0.0181644359464627,0.0615598961641859,0.0426595195035768,"2016-02","2016-Q1",319600,-0.000312891113892365,"2016-02"
